"uri","label","comment","value"
"unlcdf:0","Not officially functional","Digit '0' means that the criteria for inclusion apply, but that no information is available or used which is recognized by the competent authority regarding the specific transport mode or function(s) of the location.","0"
"unlcdf:1","Maritime transport (sea port or maritime port)","Any location with permanent facilities at which seagoing vessels can load or discharge cargo moving in maritime traffic.","1"
"unlcdf:2","Rail transport","Any location that has one or more railway terminals like cargo terminals or train stations (excluding passenger terminals). Specific terminals located inside a location shall not be considered individually as a location.","2"
"unlcdf:3","Road transport","Any location that is connected to other ones by means of roads. Specific terminals located inside a location shall not be considered individually as a location.","3"
"unlcdf:4","Air transport (airport) or space transport (spaceport)","Any location with permanent facilities at which aircraft can load or discharge cargo moving in air traffic.","4"
"unlcdf:5","International Mail Processing Centre (IMPC) recognized by the Universal Postal Union (UPU)","A mail processing facility, recognized by UPU, that has significance for the processing of inter-operator mail, either because they generate or receive dispatches or because they act as transit centres for mail exchanged between other IMPCs. Each IMPC has a well-defined physical location, is operated by or under the responsibility of a single organization and handles a specific set of mail flows. (This was known as a postal exchange office in the former edition of the Recommendation.)","5"
"unlcdf:6","Multimodal transport facility","Any location where one or more of the below facilities can be found: Inland Clearance Depot (ICD): a multimodal transport facility, other than a sea port or an airport, which is approved by a competent body, equipped with fixed installations and offering services for the handling and temporary storage of any kind of goods (including containers) carried under customs transit by any applicable mode of transport, placed under customs control and, with customs and other agencies, competent to clear goods for home use, warehousing, temporary admission, re-export, temporary storage for onward transit and outright export. (Definition applies also to synonyms like Dry Port, Inland Clearance Terminal, etc.) Container Depot: a multimodal transport facility which offers services for storage, repair and maintenance of containers. Inland freight terminal: a multimodal transport facility, other than a sea port or an airport, operated on a common- user basis, at which trade cargo is received or dispatched.","6"
"unlcdf:7","Fixed Transport Installation (oil pipeline terminal, electric power lines, ropeway terminals, etc.)","Any location with permanent facilities to load or discharge cargo that doesnâ€™t fit in the previous definitions (e.g. oil platform).","7"
"unlcdf:8","Inland water transport (river ports, and lake ports)","Any location with permanent facilities at which vessels can load or discharge cargo moving in inland waterway traffic.","8"
"unlcdf:A","Special Economic Zone (SEZ)","Any geographic region that has economic laws different from a country's typical economic laws for the purposes of trade operations and duties and tariffs.","A"
"unlcdf:B","Cross Border (former code; not to be used) ","Any location that is located on the border with other","B"
